大分類,中分類,小分類,細分類,該当例
,,,,家庭福祉員
,,,,家庭保育員
,,,,看護師紹介所長
,,,,観相家
,,,,祈とう師
,,,,キャリアコンサルタント(民営職業紹介)
,,,,キャンプ場管理人
,,,,靴みがき人
,,,,芸能人斡旋人
,,,,結婚コンサルタント
,,,,結婚式場案内係
,,,,結婚式場司会者
,,,,結婚式場支配人
,,,,結婚式場従業員
,,,,結婚相談員
,,,,コイン洗車場管理人
,,,,コインランドリー管理人
,,,,工場見学案内人
,,,,構内案内人
,,,,式場案内人
,,,,写真モデル
,,,,宿泊斡旋人(旅館案内所)
,,,,職業紹介あっせん人(民営職業紹介)
,,,,職業紹介人(民間事業所)
,,,,寝具消毒乾燥人
,,,,人生相談員
,,,,スカウト(ホステス・タレント)
,,,,タレント斡旋人
,,,,調理師斡旋人
,,,,調理士紹介所長
,,,,手相鑑定家
,,,,添乗員(保育園・幼稚園送迎バス)
,,,,俳優付人
,,,,花嫁介添人
,,,,美術モデル
,,,,ペット預り人
,,,,ペットシッター
,,,,ペットホテル係
,,,,便利屋
,,,,保育補助者
,,,,保育ママ
,,,,巫女
,,,,モデル(美術、写真)
,,,,野犬捕獲員
,,,,有線放送員(役場、公民館)
,,,,養護学校介助員
,,,,幼稚園助手
,,,,ヨットハーバー管理人
,,,,療術師
,,,,旅館斡旋人(旅館案内所)
,,,,旅行案内係(旅行・観光案内所)
,,,,霊園管理者
保安の職業,自衛官,自衛官,自衛官,海尉
,,,,海佐
,,,,海士(自衛隊)
,,,,海将
,,,,海上自衛官
,,,,海上自衛隊員
,,,,海上幕僚長
,,,,海曹
,,,,基地司令(航空自衛隊)
,,,,空尉
,,,,空佐
,,,,空士
,,,,空将
,,,,空曹
,,,,空挺隊員
,,,,航空自衛官
,,,,航空自衛隊員
,,,,航空幕僚長
,,,,護衛隊群司令
,,,,自衛艦艦長
,,,,車両操縦手(自衛隊)
,,,,戦闘機パイロット
,,,,駐屯地司令
,,,,防衛医科大学校学生
,,,,防衛大学校学生
,,,,陸尉
,,,,陸佐
,,,,陸士
,,,,陸将
,,,,陸上自衛官
,,,,陸上自衛隊員
,,,,陸上幕僚長
,,,,陸曹
,司法警察職員,警察官,警察官,鑑識係員
,,,,看守係(警察)
,,,,機動隊員(警察)
,,,,空港警察署員
,,,,警察音楽隊員
,,,,警察学校教官(警察官であるもの)
,,,,警察犬訓練士(警察官であるもの)
,,,,警察署長
,,,,警察本部長
,,,,警察無線通信士
,,,,警察有線通信員
,,,,警視
,,,,刑事
,,,,警視監
,,,,警視正
,,,,警視総監
,,,,警視長
,,,,警部
,,,,警部補
,,,,警ら隊員(警察)
,,,,皇宮護衛官
,,,,山岳警備隊員
,,,,自動車運転免許試験官(警察官)
,,,,巡査
,,,,巡査長
,,,,巡査部長
,,,,少年係(警察)
,,,,白バイ乗務員
,,,,水上警察隊員
,,,,捜査官(警察)
,,,,駐在所勤務員
,,,,鉄道警察隊員
,,,,パトカー乗務員
,,海上保安官,海上保安官,海上保安監
,,,,海上保安士
,,,,海上保安署長
,,,,海上保安正
,,,,海上保安部長
,,,,機関士(海上保安庁)
,,,,航海士(海上保安庁)
,,,,航空基地長(海上保安庁)
,,,,航路標識員(航路標識事務所)
,,,,主計士
,,,,巡視船船長(海上保安庁)
,,,,巡視船艇乗組員
,,,,巡視船乗組員
,,,,巡視艇船長(海上保安庁)
,,,,巡視艇乗組員
,,,,設標船乗組員(海上保安庁)
,,,,潜水士(海上保安庁)
,,,,船舶工務官(海上保安庁)
,,,,測量船乗組員(海上保安庁)
,,,,通信士(海上保安庁)
,,,,特殊救難隊員
,,,,飛行員(海上保安庁)
,,その他の司法警察職員,その他の司法警察職員,鑑定官(麻薬取締)
,,,,漁業監督官
,,,,狩猟取締特別司法警察官
,,,,麻薬取締官
,その他の保安の職業,看守,看守,看守長
,,,,看守部長
,,,,矯正処遇官
,,,,刑務官(管理職を除く)
,,,,刑務所看守
,,消防員,消防員,音楽隊員(消防庁)
,,,,機械係(消防署)
,,,,危険物係(消防署)
,,,,救急員(消防署)
,,,,救急救命士(消防員)
,,,,救急自動車運転手(消防官であるもの)
,,,,救急自動車乗務員
,,,,救急隊員
,,,,救助隊員
,,,,空港消防員
,,,,警備係(消防署)
,,,,警防員
,,,,警防隊員
,,,,私設消防員
,,,,消火隊員
,,,,消防官
,,,,消防監
,,,,消防士
,,,,消防司監
,,,,消防士長
,,,,消防自動車運転士(消防署)
,,,,消防署支所長
,,,,消防署長
,,,,消防司令
,,,,消防司令長
,,,,消防正監
,,,,消防船船長
,,,,消防総監
,,,,消防隊員
,,,,消防長
,,,,消防吏員
,,,,放水長(消防署)
,,,,予防建築物係(消防署)
,,,,レスキュー隊員
,,警備員,施設警備員,受付守衛
,,,,売場監視員
,,,,駅警備員
,,,,ガードウーマン
,,,,ガードマン
,,,,火薬庫監視員
,,,,管理人(守衛であるもの)
,,,,機械警備員
,,,,機械警備巡視員
,,,,空港警備員
,,,,空港保安検査員
,,,,刑事施設警備員
,,,,劇場警備員
,,,,工場警備員
,,,,施設監視員
,,,,私服保安員(売場監視)
,,,,守衛
,,,,宿直警備員
,,,,倉庫警備員
,,,,倉庫守衛
,,,,駐車場警備員
,,,,鉄道警備員
,,,,ナイトフロント係(夜警)
,,,,売店監視員
,,,,ビートエンジニア(警備員)
,,,,ビル警備員
,,,,保安警備員(ビル管理)
,,,,夜警員
,,,他に分類されない警備員,運搬警備員
,,,,機械警備管制員
,,,,貴重品運搬警備員
,,,,現金輸送員
,,,,国会衛視
,,,,身辺警護員
,,,,法廷警備員
,,,,ボディーガード
,,他に分類されない保安の職業,道路管理員,機動班員(道路管理)
,,,,高速道路交通パトロール
,,,,交通管制司令(高速道路)
,,,,交通管理司令(高速道路)
,,,,交通管理隊員
,,,,交通巡視員
,,,,交通司令(高速道路)
,,,,交通保安係
,,,,道路監理員
,,,,道路パトロール隊員
,,,道路交通誘導員,建設現場交通誘導員
,,,,建設現場誘導員
,,,,交通誘導員
,,,,交通誘導警備員
,,,,道路工事現場交通誘導員
,,,雑踏警備員,イベント警備員
,,,,会場整備員
,,,,催事警備員
,,,プール・海水浴場監視員,海水浴場監視員
,,,,水泳場監視員
,,,,プール監視員
,,,,ライフガード
,,,,ライフセーバー
,,,他に分類されないその他の保安の職業,ガス漏えい検査員
,,,,河川公園巡視員
,,,,閘(こう)門番(水門)
,,,,自然公園監視員
,,,,自然保護監視員
,,,,自然保護官(レンジャー)
,,,,自転車放置防止員
,,,,児童交通擁護員
,,,,巡回員(ガス供給業)
,,,,水位監視人
,,,,水路管理人(農業用水を除く)
,,,,税関監視官
,,,,税関検査官
,,,,潜水夫(海難救助)
,,,,ダム管理人
,,,,駐車監視員
,,,,ドッグハンドラー(税関)
,,,,入国警備官
,,,,発電用水路監視員
,,,,パトロール員(ガス会社)
,,,,踏切警手
,,,,踏切保安係
,,,,列車見張員(保線工事)
農林漁業の職業,農業の職業,農耕作業員,稲作・畑作作業員,稲作作業員
,,,,稲作農耕者
,,,,いも類栽培作業員
,,,,陸稲耕作者
,,,,こんにゃくいも栽培人
,,,,雑穀耕作者(あわ、ひえ、きび、そば、とうもろこし)
,,,,雑穀栽培作業員
,,,,さといも耕作者
,,,,収穫作業者(野菜)
,,,,しょうが栽培人
,,,,水稲栽培作業員
,,,,スプラウト(新芽)野菜栽培人
,,,,そ菜栽培人(露地栽培)
,,,,そば栽培者
,,,,畑作耕作者
,,,,畑作作業員
,,,,馬鈴薯耕作者
,,,,豆類栽培作業員
,,,,麦類耕作者
,,,,野菜栽培作業員
,,,,野菜栽培人
,,,,落花生作り農耕者
,,,園芸・工芸作物栽培作業員,あさぎり草栽培人
,,,,い草刈作業者
,,,,い草栽培作業員
,,,,いちご栽培作業員
,,,,植木栽培作業員
,,,,植木苗木栽培人
,,,,植木苗木職人
,,,,園芸作業者
,,,,園芸作物栽培作業員
,,,,園芸農耕者
,,,,温室栽培者
,,,,花き栽培作業員
,,,,果実栽培人
,,,,果樹園手入人
,,,,果樹栽培作業員
,,,,花木類栽培人
,,,,草花園芸者
,,,,草花栽培者
,,,,栗栽培者
,,,,桑栽培者
,,,,工芸作物栽培作業員
,,,,工芸作物栽培作業者
,,,,こうぞ皮剥人(農業)
,,,,さくらんぼ採取人
,,,,砂糖黍(きび)栽培者
,,,,芝栽培作業員
,,,,収穫作業者(果物)
,,,,除袋人(果樹)
,,,,除虫菊栽培者
,,,,杉苗手入人(植木)
,,,,たばこ栽培作業員
,,,,茶刈人
,,,,茶栽培作業員
,,,,摘蕾(らい)作業者(果樹)
,,,,甜菜(てんさい)栽培者
,,,,はす農耕作業者
,,,,葉たばこ結束人
,,,,薄荷(はっか)栽培者
,,,,花栽培人
,,,,ぶどう園作業員
,,,,ホップ栽培者
,,,,盆栽作り人
,,,,盆栽苗木栽培者
,,,,みかん栽培人
,,,,三椏(みつまた)栽培者
,,,,薬草栽培人
,,,,ラベンダー栽培人
,,,,りんご栽培人
,,,,りんご農作業員
,,,,わさび栽培者
,,,きのこ栽培作業員,えのきだけ栽培作業員
,,,,きのこ類製造作業員(工場生産)
,,,,菌床椎茸栽培作業員
,,,,椎茸乾燥人
,,,,椎茸菌培養者
,,,,椎茸栽培作業員
,,,,椎茸種駒植付人
,,,,舞茸栽培作業員
,,,,マッシュルーム栽培作業員
,,,ハウス野菜栽培作業員,温室野菜栽培作業員
,,,,施設野菜栽培作業員
,,,,そ菜栽培作業員(ハウス栽培)
,,,,ハウス野菜栽培者
,,,,ハウス野菜栽培人
,,,他に分類されない農耕作業員,育苗作業者(農業)
,,,,椎茸種駒製造作業員
,,,,種子係(農業)
,,,,種子帯製造人
,,,,種苗栽培員(農業)
,,,,植物園栽培係員
,,,,種駒製造工
,,,,苗畑作業員(農業)
,,,,苗圃(ほ)作業者
,,,,農園管理人
,,,,農業機械運転員
,,,,農業機械運転作業員
,,,,農耕用トラクター運転手
,,,,バインダー(刈取結束機)運転手
,,,,肥培管理員
,,,,牧草刈取人(家畜の飼育を伴わないもの)
,,,,牧草栽培者(家畜の飼育を伴なわないもの)
,,,,圃(ほ)場整備トラクター運転手
,,,,もやし製造作業員(工場生産)
,,,,野菜積込み作業員
,,養畜作業員,肉牛・乳牛飼育作業員,牛舎係
,,,,搾乳作業員
,,,,肉牛飼育作業員
,,,,肉牛飼育者
,,,,乳牛飼育作業員
,,,,乳牛飼育者
,,,,ミルカー工(搾乳機操作員)
,,,,酪農作業員
,,,,酪農ヘルパー
,,,養豚作業員,豚舎作業員
,,,,豚飼育管理作業員
,,,,養豚作業者
,,,,養豚場作業員
,,,養鶏作業員,鶏舎作業員
,,,,集卵作業員(養鶏場)
,,,,鶏飼育管理作業員
,,,,孵(ふ)化作業者(養鶏場)
,,,,ふ卵所係(養鶏場)
,,,,ブロイラー飼育作業員
,,,,養鶏作業者
,,,,養鶏人
,,,動物飼育係,愛がん用動物飼育作業員
,,,,犬飼育人
,,,,研究用動物世話係
,,,,小鳥飼育者
,,,,飼育係(動物園)
,,,,実験動物飼育係
,,,,動物園飼育係
,,,,猫飼育者
,,,きゅう務員,馬飼育係(乗馬クラブ)
,,,,騎乗員
,,,,厩務員
,,,,競走馬飼育作業員
,,,,種馬管理人
,,,,種馬飼育作業員
,,,,馬丁
,,,養蚕作業員,蚕飼育員
,,,,蚕種工
,,,,蚕種製造作業員
,,,,収繭作業員
,,,,種蚕飼育員
,,,,養蚕人
,,,他に分類されない養畜作業員,育雛作業者
,,,,家禽(きん)飼育者
,,,,家禽ふ卵作業者
,,,,家畜毛刈作業員
,,,,家畜人工授精師助手
,,,,昆虫飼育作業員
,,,,サイレージカッター工
,,,,種付作業者
,,,,畜産助手
,,,,動物実験作業員
,,,,動物実験助手
,,,,動物繁殖作業員
,,,,肥育管理員
,,,,ブリーダー
,,,,ヘイローダー運転手
,,,,牧場管理人
,,,,牧場作業員
,,,,牧場牧夫
,,,,牧草刈取人(家畜の飼育を伴うもの)
,,,,牧草栽培者(家畜の飼育を伴うもの)
,,,,蜜蜂飼育人
,,,,養虫作業員(蛍・鈴虫・松虫など)
,,,,養蜂作業員
,,植木職、造園師,植木職,植木屋
,,,,剪定工
,,,,庭木屋
,,,造園師,ゴルフ場芝植付作業員
,,,,ゴルフ場芝刈り作業員
,,,,ゴルフ場芝手入作業員
,,,,作庭師
,,,,芝植付作業員(造園業)
,,,,芝種子吹付工
,,,,芝張り人(造園業)
,,,,造園技能士
,,,,造園技能者
,,,,築庭作業員
,,,,築庭人
,,,,庭師
,,,,法面保護工(芝張り工事)
,,,植木職見習、造園師見習,植木職見習
,,,,植木職(見習)
,,,,造園師見習
,,,,造園師(見習)
,,その他の農業の職業,その他の農業の職業,害虫駆除指導員(街路樹)
,,,,管理人(農業用貯水池)
,,,,削蹄師
,,,,植物防疫員(農作物)
,,,,水門操作員(農業用水)
,,,,水路管理人(農業用水)
,,,,装てい師
,,,,装鉄師
,,,,蹄鉄打替作業員
,,,,農業用水管理員
,,,,農業用水利係員
,,,,農作物病虫害防除員
,,,,農薬散布作業員
,,,,配水員(土地改良区)
,,,,病害虫防除員(農作物)
,林業の職業,育林作業員,地ごしらえ・植林作業員,山林地拵え作業者
,,,,山林苗木植付作業員
,,,,地ごしらえ作業員
,,,,植林作業員
,,,,造林地拵作業者
,,,,林業地ごしらえ作業員
,,,下刈・枝打作業員,枝打作業員
,,,,笹刈作業者
,,,,山林枝打作業員
,,,,山林下刈作業員
,,,,下刈作業員
,,,,除伐作業員
,,,,造林草刈り作業者
,,,他に分類されない育林作業員,山林手入作業者
,,,,植林手入作業者
,,,,造林計測作業員
,,,,苗圃作業者(育林)
,,,,撫(ぶ)育作業者
,,,,雪起作業員
,,,,林木計測作業員
,,伐木・造材・集材作業員,伐木・造材・集材作業員,筏組作業者(林業:運材)
,,,,筏作業者(山元)
,,,,筏操作員(林業:運材)
,,,,運材作業員
,,,,枝払作業者(造材)
,,,,架線工(林業:運材)
,,,,皮剥(はぎ)作業者(造材)
,,,,間伐作業員
,,,,軌道出し運材作業者
,,,,木寄せ作業者
,,,,原木伐採工
,,,,小出し作業者(林業)
,,,,木挽工
,,,,木挽作業者(伐木)
,,,,材木運搬人(伐採地におけるもの)
,,,,索道出し作業者
,,,,山林木挽作業者
,,,,山林作業員(伐木・造材・集材)
,,,,山林伐採作業員
,,,,集運材作業者
,,,,集材作業員
,,,,森林作業員(伐木・造材・集材)
