大分類,中分類,小分類,細分類,該当例
,,,,シーケンス制御設計技術者
,,,,自動車用モーター設計技術者
,,,,集積回路設計技術者
,,,,制御盤設計技術者
,,,,精密測定器設計技術者(電気式)
,,,,整流器設計技術者
,,,,積算電力計設計技術者
,,,,デジタル回路設計技術者
,,,,テレビ設計技術者
,,,,電気音響装置設計技術者
,,,,電気回路設計技術者
,,,,電気機械設計技術者
,,,,電気計測器設計技術者
,,,,電気工事設計監督
,,,,電気信号装置設計技術者
,,,,電気設備設計技術者
,,,,電気通信機器設計技術者
,,,,電気溶接機設計技術者
,,,,電気冷蔵庫設計技術者
,,,,電気冷凍機設計技術者
,,,,電子回路設計技術者
,,,,電子管設計技術者
,,,,電子機器設計技術者
,,,,電子計算機設計技術者
,,,,電動機設計技術者
,,,,電力制御装置設計技術者
,,,,電話機設計技術者
,,,,電話交換機設計技術者
,,,,トランジスタ設計技術者
,,,,内燃機関電装品設計技術者
,,,,ネオンランプ設計技術者
,,,,配電盤設計技術者
,,,,舶用電気設計技術者
,,,,発送電装置設計技術者
,,,,発電機設計技術者
,,,,半導体集積回路レイアウト設計技術者
,,,,半導体設計技術者
,,,,光半導体設計技術者
,,,,舞台設備設計技術者(電気装飾工事)
,,,,プラント電気計装設計技術者
,,,,プリント配線基板設計士
,,,,変圧器設計技術者
,,,,無線通信装置設計技術者
,,,,無線電気通信機器設計技術者
,,,,遊技機機構部品設計技術者
,,,,レーダー設計技術者
,,,他に分類されない電気・電子・電気通信開発技術者(通信ネットワークを除く),液晶パネル開発技術者(設計を除く)
,,,,X線装置開発技術者(設計を除く)
,,,,音響技術者(開発)
,,,,集積回路開発技術者(設計を除く)
,,,,精密測定器開発技術者(電気式)(設計を除く)
,,,,積算電力計開発技術者(設計を除く)
,,,,テレビ開発技術者(設計を除く)
,,,,電気音響装置開発技術者(設計を除く)
,,,,電気機械開発技術者(設計を除く)
,,,,電気計測器開発技術者(設計を除く)
,,,,電気信号装置開発技術者(設計を除く)
,,,,電気装置開発技術者(設計を除く)
,,,,電気溶接機開発技術者(設計を除く)
,,,,電気冷蔵庫開発技術者(設計を除く)
,,,,電気冷凍機開発技術者(設計を除く)
,,,,電子管開発技術者(設計を除く)
,,,,電子機器開発技術者(設計を除く)
,,,,電子計算機開発技術者(設計を除く)
,,,,電池開発技術者(設計を除く)
,,,,電動機開発技術者(設計を除く)
,,,,電話機開発技術者(設計を除く)
,,,,電話交換機開発技術者(設計を除く)
,,,,トランジスタ開発技術者(設計を除く)
,,,,内燃機関電装品開発技術者(設計を除く)
,,,,ネオンランプ開発技術者(設計を除く)
,,,,燃料電池開発技術者(FC:燃料電池自動車)
,,,,発送電技術者(開発)
,,,,発送電装置開発技術者(設計を除く)
,,,,発電機開発技術者(設計を除く)
,,,,発電技術者(開発)
,,,,半導体製品開発技術者(設計を除く)
,,,,変圧器開発技術者(設計を除く)
,,,,変電技術者(開発)
,,,,無線電気通信機開発技術者(設計を除く)
,,,,有機EL開発技術者
,,,,リチウム電池開発技術者
,,,,レースウェイ商品開発技術者(設計を除く)
,,,,レーダー開発技術者(設計を除く)
,,機械開発技術者,機械設計技術者,圧延機械設計技術者
,,,,圧縮機設計技術者
,,,,圧力計設計技術者
,,,,医療用精密機器設計技術者
,,,,印刷機械設計技術者
,,,,エアーブレーキ設計技術者
,,,,エスカレーター装置設計技術者
,,,,エンジン設計技術者
,,,,化学機械設計技術者
,,,,化学反応装置設計技術者
,,,,化学プラント設計技術者
,,,,金型設計士
,,,,空気圧縮機設計技術者
,,,,空気調和機械設計技術者
